Address,USB0::0x2A8D::0x3702::MY61001265::0::INSTR,
Model,EL33133A,
Serial Number:,MY61001265,
Firmware Version,1.2.9-1.0.6-17-114,
Start Time,2025-03-27 15:17:58.557,
Stop Time,2025-03-27 15:51:31.230,
Sample Period (s),0.5,
,,
Time (s) (s),V1 (DCVolt),P1 (Power)
2025-03-27 15:21:24.141,2.871448,2.871203
2025-03-27 15:21:24.658,2.871631,2.871041
2025-03-27 15:21:25.176,2.870812,2.871199
2025-03-27 15:21:25.694,2.871361,2.87086
2025-03-27 15:21:26.212,2.870795,2.870641
2025-03-27 15:21:26.729,2.870383,2.870217
2025-03-27 15:21:27.248,2.8699,2.869745
2025-03-27 15:21:27.766,2.869631,2.869585
2025-03-27 15:21:28.284,2.869743,2.869082
2025-03-27 15:21:28.801,2.869398,2.869265
2025-03-27 15:21:29.319,2.869514,2.86865
2025-03-27 15:21:29.837,2.86899,2.869297
2025-03-27 15:21:30.354,2.869018,2.868652
2025-03-27 15:21:30.872,2.86858,2.868369
2025-03-27 15:21:31.390,2.868265,2.868165
2025-03-27 15:21:31.907,2.867827,2.867409
2025-03-27 15:21:32.425,2.867669,2.867027
2025-03-27 15:21:32.943,2.8677,2.867362
2025-03-27 15:21:33.460,2.867001,2.866802
2025-03-27 15:21:33.978,2.866842,2.86694
2025-03-27 15:21:34.497,2.866766,2.86638
2025-03-27 15:21:35.014,2.866707,2.866388
2025-03-27 15:21:35.531,2.866568,2.866249
2025-03-27 15:21:36.049,2.86604,2.865894
2025-03-27 15:21:36.567,2.866001,2.86577
2025-03-27 15:21:37.085,2.866001,2.86577
2025-03-27 15:21:37.085,2.865974,2.865477
2025-03-27 15:21:37.603,2.865789,2.865382
2025-03-27 15:21:38.120,2.865068,2.865019
2025-03-27 15:21:38.638,2.865177,2.864679
2025-03-27 15:21:39.156,2.865387,2.864891
2025-03-27 15:21:39.674,2.864651,2.864344
2025-03-27 15:21:40.192,2.864286,2.863945
2025-03-27 15:21:40.709,2.863935,2.86361
2025-03-27 15:21:41.226,2.86381,2.863353
2025-03-27 15:21:41.745,2.863648,2.863262
2025-03-27 15:21:42.262,2.864008,2.863168
2025-03-27 15:21:42.780,2.863052,2.862791
2025-03-27 15:21:43.298,2.862716,2.862582
2025-03-27 15:21:43.816,2.862624,2.862236
2025-03-27 15:21:44.333,2.862532,2.862131
2025-03-27 15:21:44.851,2.862226,2.862305
2025-03-27 15:21:45.369,2.862087,2.861573
2025-03-27 15:21:45.886,2.861657,2.861589
